trial_id,condition_pct,spike_time_ms
0,6.0,54.5
0,6.0,777.5
1,6.0,612.5
1,6.0,750.5
2,6.0,607.5
2,6.0,642.5
2,6.0,664.5
3,6.0,299.5
4,6.0,193.5
4,6.0,221.5
5,6.0,743.5
6,6.0,468.5
6,6.0,488.5
8,6.0,89.5
8,6.0,376.5
8,6.0,562.5
9,6.0,138.5
9,6.0,497.5
9,6.0,590.5
10,6.0,571.5
10,6.0,646.5
10,6.0,701.5
11,6.0,96.5
11,6.0,429.5
12,6.0,122.5
12,6.0,557.5
13,6.0,343.5
14,6.0,157.5
14,6.0,225.5
15,6.0,287.5
15,6.0,296.5
16,6.0,26.5
16,6.0,640.5
17,6.0,132.5
17,6.0,575.5
17,6.0,732.5
18,6.0,577.5
18,6.0,604.5
18,6.0,695.5
18,6.0,749.5
18,6.0,752.5
19,6.0,89.5
19,6.0,349.5
19,6.0,621.5
19,6.0,658.5
19,6.0,665.5
20,6.0,661.5
21,6.0,607.5
22,6.0,89.5
22,6.0,135.5
22,6.0,348.5
22,6.0,567.5
22,6.0,645.5
23,6.0,717.5
25,6.0,32.5
25,6.0,209.5
25,6.0,266.5
25,6.0,469.5
25,6.0,562.5
26,6.0,117.5
26,6.0,610.5
27,6.0,672.5
27,6.0,723.5
27,6.0,730.5
27,6.0,747.5
28,6.0,84.5
28,6.0,401.5
29,6.0,503.5
30,6.0,119.5
30,6.0,197.5
30,6.0,653.5
31,6.0,571.5
32,6.0,106.5
32,6.0,428.5
32,6.0,487.5
32,6.0,683.5
33,6.0,371.5
34,6.0,161.5
36,6.0,75.5
36,6.0,564.5
37,6.0,438.5
38,6.0,543.5
38,6.0,736.5
39,6.0,20.5
39,6.0,711.5
40,6.0,29.5
40,6.0,330.5
40,6.0,379.5
40,6.0,714.5
41,6.0,57.5
41,6.0,572.5
41,6.0,758.5
42,6.0,45.5
42,6.0,476.5
43,6.0,70.5
43,6.0,226.5
45,6.0,225.5
45,6.0,468.5
46,6.0,534.5
47,6.0,3.5
47,6.0,351.5
47,6.0,625.5
48,6.0,380.5
49,6.0,517.5
49,6.0,641.5
50,6.0,434.5
51,6.0,59.5
51,6.0,493.5
51,6.0,549.5
52,6.0,567.5
52,6.0,685.5
53,6.0,188.5
53,6.0,551.5
54,6.0,189.5
54,6.0,250.5
54,6.0,465.5
54,6.0,541.5
55,6.0,217.5
55,6.0,606.5
55,6.0,715.5
56,6.0,183.5
56,6.0,267.5
56,6.0,384.5
56,6.0,523.5
57,6.0,273.5
57,6.0,420.5
57,6.0,444.5
57,6.0,450.5
57,6.0,497.5
57,6.0,661.5
57,6.0,773.5
58,6.0,192.5
58,6.0,646.5
59,6.0,210.5
59,6.0,448.5
59,6.0,487.5
59,6.0,796.5
61,6.0,86.5
61,6.0,205.5
61,6.0,465.5
62,6.0,158.5
62,6.0,262.5
62,6.0,340.5
62,6.0,458.5
62,6.0,473.5
62,6.0,608.5
63,6.0,418.5
63,6.0,506.5
64,6.0,175.5
64,6.0,276.5
65,6.0,579.5
66,6.0,104.5
66,6.0,260.5
66,6.0,427.5
66,6.0,693.5
67,6.0,37.5
67,6.0,205.5
67,6.0,272.5
67,6.0,429.5
67,6.0,717.5
68,6.0,427.5
68,6.0,650.5
69,6.0,186.5
69,6.0,188.5
69,6.0,240.5
69,6.0,342.5
69,6.0,553.5
70,6.0,54.5
70,6.0,492.5
70,6.0,506.5
70,6.0,659.5
70,6.0,703.5
71,6.0,117.5
71,6.0,138.5
71,6.0,407.5
71,6.0,649.5
71,6.0,782.5
72,6.0,204.5
72,6.0,230.5
72,6.0,235.5
72,6.0,278.5
72,6.0,770.5
73,6.0,635.5
74,6.0,106.5
74,6.0,500.5
75,6.0,697.5
75,6.0,777.5
76,6.0,395.5
76,6.0,614.5
