stimulus_id,feature_x,feature_y,n_trials,integration_time_s,role
0,-1.0,-1.0,10,1.0,fit
1,-0.7142857142857143,-1.0,10,1.0,fit
2,-0.4285714285714286,-1.0,10,1.0,fit
3,-0.1428571428571429,-1.0,10,1.0,fit
4,0.1428571428571428,-1.0,10,1.0,fit
5,0.4285714285714284,-1.0,10,1.0,fit
6,0.7142857142857142,-1.0,10,1.0,fit
7,1.0,-1.0,10,1.0,fit
8,-1.0,-0.7142857142857143,10,1.0,fit
9,-0.7142857142857143,-0.7142857142857143,10,1.0,fit
10,-0.4285714285714286,-0.7142857142857143,10,1.0,holdout
11,-0.1428571428571429,-0.7142857142857143,10,1.0,fit
12,0.1428571428571428,-0.7142857142857143,10,1.0,holdout
13,0.4285714285714284,-0.7142857142857143,10,1.0,fit
14,0.7142857142857142,-0.7142857142857143,10,1.0,fit
15,1.0,-0.7142857142857143,10,1.0,fit
16,-1.0,-0.4285714285714286,10,1.0,fit
17,-0.7142857142857143,-0.4285714285714286,10,1.0,fit
18,-0.4285714285714286,-0.4285714285714286,10,1.0,fit
19,-0.1428571428571429,-0.4285714285714286,10,1.0,fit
20,0.1428571428571428,-0.4285714285714286,10,1.0,fit
21,0.4285714285714284,-0.4285714285714286,10,1.0,holdout
22,0.7142857142857142,-0.4285714285714286,10,1.0,holdout
23,1.0,-0.4285714285714286,10,1.0,fit
24,-1.0,-0.1428571428571429,10,1.0,fit
25,-0.7142857142857143,-0.1428571428571429,10,1.0,fit
26,-0.4285714285714286,-0.1428571428571429,10,1.0,fit
27,-0.1428571428571429,-0.1428571428571429,10,1.0,fit
28,0.1428571428571428,-0.1428571428571429,10,1.0,holdout
29,0.4285714285714284,-0.1428571428571429,10,1.0,fit
30,0.7142857142857142,-0.1428571428571429,10,1.0,holdout
31,1.0,-0.1428571428571429,10,1.0,fit
32,-1.0,0.1428571428571428,10,1.0,fit
33,-0.7142857142857143,0.1428571428571428,10,1.0,fit
34,-0.4285714285714286,0.1428571428571428,10,1.0,fit
35,-0.1428571428571429,0.1428571428571428,10,1.0,fit
36,0.1428571428571428,0.1428571428571428,10,1.0,fit
37,0.4285714285714284,0.1428571428571428,10,1.0,fit
38,0.7142857142857142,0.1428571428571428,10,1.0,fit
39,1.0,0.1428571428571428,10,1.0,fit
40,-1.0,0.4285714285714284,10,1.0,fit
41,-0.7142857142857143,0.4285714285714284,10,1.0,holdout
42,-0.4285714285714286,0.4285714285714284,10,1.0,holdout
43,-0.1428571428571429,0.4285714285714284,10,1.0,holdout
44,0.1428571428571428,0.4285714285714284,10,1.0,fit
45,0.4285714285714284,0.4285714285714284,10,1.0,holdout
46,0.7142857142857142,0.4285714285714284,10,1.0,fit
47,1.0,0.4285714285714284,10,1.0,fit
48,-1.0,0.7142857142857142,10,1.0,fit
49,-0.7142857142857143,0.7142857142857142,10,1.0,holdout
50,-0.4285714285714286,0.7142857142857142,10,1.0,fit
51,-0.1428571428571429,0.7142857142857142,10,1.0,fit
52,0.1428571428571428,0.7142857142857142,10,1.0,fit
53,0.4285714285714284,0.7142857142857142,10,1.0,fit
54,0.7142857142857142,0.7142857142857142,10,1.0,holdout
55,1.0,0.7142857142857142,10,1.0,fit
56,-1.0,1.0,10,1.0,fit
57,-0.7142857142857143,1.0,10,1.0,fit
58,-0.4285714285714286,1.0,10,1.0,fit
59,-0.1428571428571429,1.0,10,1.0,fit
60,0.1428571428571428,1.0,10,1.0,fit
61,0.4285714285714284,1.0,10,1.0,fit
62,0.7142857142857142,1.0,10,1.0,fit
63,1.0,1.0,10,1.0,fit
